carrier,product,state,age,sex,smoker,face_amount,health_class,monthly_premium,rank_in_quote,is_best,is_mvi_appointed,integrity_carrier,integrity_product,harvest_batch_id,source_date
amam,platinum_solution_graded,NE,55,male,0,15000,standard_nt,82.02,31,0,1,American Amicable,Platinum Solution Graded,2026-08-15,2026-08-15
royal,graded_benefit_life,NE,55,male,0,15000,standard_nt,84.48,32,0,0,royal,Graded Benefit Life,2026-08-15,2026-08-15
logo,superior_choice_gi,NE,55,male,0,15000,standard_nt,84.74,33,0,0,logo,Superior Choice - GI,2026-08-15,2026-08-15
amam,golden_solution_rop,NE,55,male,0,15000,standard_nt,85.06,34,0,1,American Amicable,Golden Solution ROP,2026-08-15,2026-08-15
logo,graded,NE,55,male,0,15000,standard_nt,85.38,35,0,0,logo,Graded,2026-08-15,2026-08-15
aetna,primary_plan_rop,NE,55,male,0,15000,standard_nt,85.92,36,0,1,Aetna,PRIMARY PLAN ROP,2026-08-15,2026-08-15
gerber,gerber_guaranteed_life,NE,55,male,0,15000,standard_nt,86.45,37,0,0,gerber,Gerber Guaranteed Life,2026-08-15,2026-08-15
foresters,planright_standard,NE,55,male,0,15000,standard_nt,87.18,38,0,0,foresters,PlanRight/Standard,2026-08-15,2026-08-15
foresters,planright_rop,NE,55,male,0,15000,standard_nt,88.2,39,0,0,foresters,PlanRight ROP,2026-08-15,2026-08-15
gtl,heritage_plan,NE,55,male,0,15000,standard_nt,88.25,40,0,0,gtl,Heritage Plan,2026-08-15,2026-08-15
amam,platinum_solution_rop,NE,55,male,0,15000,standard_nt,89.41,41,0,1,American Amicable,Platinum Solution ROP,2026-08-15,2026-08-15
royal,ensured_legacy_graded,NE,55,male,0,15000,standard_nt,93.09,42,0,0,royal,Ensured Legacy - Graded,2026-08-15,2026-08-15
cigna,primary_plan_rop,NE,55,male,0,15000,standard_nt,93.34,43,0,0,cigna,PRIMARY PLAN ROP,2026-08-15,2026-08-15
corebridge,giwl_up_to_19_999,NE,55,male,0,15000,standard_nt,99.08,44,0,1,Corebridge Financial,GIWL up to $19;999,2026-08-15,2026-08-15
logo,express_issue_graded,NE,55,male,0,15000,standard_nt,101.83,45,0,0,logo,Express Issue Graded,2026-08-15,2026-08-15
aflac,primary_plan_rop,NE,55,male,0,15000,standard_nt,107.39,46,0,0,Aflac,Primary Plan ROP,2026-08-15,2026-08-15
transamerica,express_graded,NE,55,male,0,15000,standard_nt,119.66,47,0,1,Transamerica Life Insurance Co.,Express Graded,2026-08-15,2026-08-15
transamerica,easy_solution,NE,55,male,0,15000,standard_nt,135.33,48,0,1,Transamerica Life Insurance Co.,Easy Solution,2026-08-15,2026-08-15
logo,guaranteed_issue,NE,55,male,0,15000,standard_nt,152.49,49,0,0,logo,Guaranteed Issue,2026-08-15,2026-08-15
transamerica,immediate_solution_preferred,NE,55,male,0,25000,standard_nt,83.88,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-15,2026-08-15
royal,ensured_legacy_preferred,NE,55,male,0,25000,standard_nt,83.95,2,0,0,royal,Ensured Legacy/Preferred,2026-08-15,2026-08-15
americo,eagle_select_1,NE,55,male,0,25000,standard_nt,84.15,3,0,1,Americo,Eagle Select 1,2026-08-15,2026-08-15
moo,living_promise_level,NE,55,male,0,25000,standard_nt,85.06,4,0,1,United of Omaha,Living Promise Level,2026-08-15,2026-08-15
transamerica,express_premier,NE,55,male,0,25000,standard_nt,89.16,5,0,1,Transamerica Life Insurance Co.,Express Premier,2026-08-15,2026-08-15
lbl,simpl_preferred,NE,55,male,0,25000,standard_nt,89.54,6,0,0,lbl,SIMPL Preferred,2026-08-15,2026-08-15
logo,preferred,NE,55,male,0,25000,standard_nt,90.13,7,0,0,logo,Preferred,2026-08-15,2026-08-15
corebridge,simplinow_level,NE,55,male,0,25000,standard_nt,93.25,8,0,1,Corebridge Financial,SimpliNow Level,2026-08-15,2026-08-15
foresters,planright_preferred,NE,55,male,0,25000,standard_nt,93.41,9,0,0,foresters,PlanRight/Preferred,2026-08-15,2026-08-15
cigna,primary_plan,NE,55,male,0,25000,standard_nt,95.9,10,0,0,cigna,PRIMARY PLAN,2026-08-15,2026-08-15
royal,simplified_issue_plan,NE,55,male,0,25000,standard_nt,96.08,11,0,0,royal,Simplified Issue Plan,2026-08-15,2026-08-15
amam,senior_choice_immediate,NE,55,male,0,25000,standard_nt,96.12,12,0,1,American Amicable,Senior Choice Immediate,2026-08-15,2026-08-15
amam,golden_solution_immediate,NE,55,male,0,25000,standard_nt,99.29,13,0,1,American Amicable,Golden Solution Immediate,2026-08-15,2026-08-15
transamerica,immediate_solution_standard,NE,55,male,0,25000,standard_nt,100.4,14,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-15,2026-08-15
logo,standard,NE,55,male,0,25000,standard_nt,101.08,15,0,0,logo,Standard,2026-08-15,2026-08-15
amam,platinum_solution_immediate,NE,55,male,0,25000,standard_nt,104.19,16,0,1,American Amicable,Platinum Solution Immediate,2026-08-15,2026-08-15
aetna,preferred,NE,55,male,0,25000,standard_nt,105.0,17,0,1,Aetna,Preferred,2026-08-15,2026-08-15
royal,ensured_legacy_standard,NE,55,male,0,25000,standard_nt,107.97,18,0,0,royal,Ensured Legacy/Standard,2026-08-15,2026-08-15
americo,eagle_select_2,NE,55,male,0,25000,standard_nt,108.73,19,0,1,Americo,Eagle Select 2,2026-08-15,2026-08-15
aetna,standard,NE,55,male,0,25000,standard_nt,115.94,20,0,1,Aetna,Standard,2026-08-15,2026-08-15
transamerica,express_select,NE,55,male,0,25000,standard_nt,116.12,21,0,1,Transamerica Life Insurance Co.,Express Select,2026-08-15,2026-08-15
amam,senior_choice_graded,NE,55,male,0,25000,standard_nt,117.63,22,0,1,American Amicable,Senior Choice Graded,2026-08-15,2026-08-15
aflac,standard,NE,55,male,0,25000,standard_nt,118.56,23,0,0,Aflac,Standard,2026-08-15,2026-08-15
lbl,simpl_standard,NE,55,male,0,25000,standard_nt,118.79,24,0,0,lbl,SIMPL Standard,2026-08-15,2026-08-15
americo,eagle_select_3,NE,55,male,0,25000,standard_nt,126.61,25,0,1,Americo,Eagle Select 3,2026-08-15,2026-08-15
corebridge,simplinow_graded,NE,55,male,0,25000,standard_nt,128.21,26,0,1,Corebridge Financial,SimpliNow Graded,2026-08-15,2026-08-15
amam,senior_choice_rop,NE,55,male,0,25000,standard_nt,132.66,27,0,1,American Amicable,Senior Choice ROP,2026-08-15,2026-08-15
logo,graded,NE,55,male,0,25000,standard_nt,139.52,28,0,0,logo,Graded,2026-08-15,2026-08-15
aetna,primary_plan_rop,NE,55,male,0,25000,standard_nt,140.88,29,0,1,Aetna,PRIMARY PLAN ROP,2026-08-15,2026-08-15
logo,superior_choice_gi,NE,55,male,0,25000,standard_nt,141.23,30,0,0,logo,Superior Choice - GI,2026-08-15,2026-08-15
foresters,planright_standard,NE,55,male,0,25000,standard_nt,143.19,31,0,0,foresters,PlanRight/Standard,2026-08-15,2026-08-15
gerber,gerber_guaranteed_life,NE,55,male,0,25000,standard_nt,143.47,32,0,0,gerber,Gerber Guaranteed Life,2026-08-15,2026-08-15
cigna,primary_plan_rop,NE,55,male,0,25000,standard_nt,155.57,33,0,0,cigna,PRIMARY PLAN ROP,2026-08-15,2026-08-15
logo,express_issue_graded,NE,55,male,0,25000,standard_nt,166.82,34,0,0,logo,Express Issue Graded,2026-08-15,2026-08-15
aflac,primary_plan_rop,NE,55,male,0,25000,standard_nt,176.18,35,0,0,Aflac,Primary Plan ROP,2026-08-15,2026-08-15
corebridge,giwl_20_000_and_up,NE,55,male,0,25000,standard_nt,183.48,36,0,1,Corebridge Financial,GIWL $20;000 and up,2026-08-15,2026-08-15
transamerica,express_graded,NE,55,male,0,25000,standard_nt,197.02,37,0,1,Transamerica Life Insurance Co.,Express Graded,2026-08-15,2026-08-15
transamerica,easy_solution,NE,55,male,0,25000,standard_nt,223.15,38,0,1,Transamerica Life Insurance Co.,Easy Solution,2026-08-15,2026-08-15
logo,guaranteed_issue,NE,55,male,0,25000,standard_nt,251.26,39,0,0,logo,Guaranteed Issue,2026-08-15,2026-08-15
transamerica,immediate_solution_preferred,NE,55,male,0,50000,standard_nt,164.16,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-15,2026-08-15
americo,eagle_select_1,NE,55,male,0,50000,standard_nt,164.49,2,0,1,Americo,Eagle Select 1,2026-08-15,2026-08-15
moo,living_promise_level,NE,55,male,0,50000,standard_nt,166.92,3,0,1,United of Omaha,Living Promise Level,2026-08-15,2026-08-15
transamerica,express_premier,NE,55,male,0,50000,standard_nt,174.71,4,0,1,Transamerica Life Insurance Co.,Express Premier,2026-08-15,2026-08-15
logo,preferred,NE,55,male,0,50000,standard_nt,176.09,5,0,0,logo,Preferred,2026-08-15,2026-08-15
amam,senior_choice_immediate,NE,55,male,0,50000,standard_nt,189.6,6,0,1,American Amicable,Senior Choice Immediate,2026-08-15,2026-08-15
royal,simplified_issue_plan,NE,55,male,0,50000,standard_nt,191.07,7,0,0,royal,Simplified Issue Plan,2026-08-15,2026-08-15
transamerica,immediate_solution_standard,NE,55,male,0,50000,standard_nt,197.19,8,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-15,2026-08-15
logo,standard,NE,55,male,0,50000,standard_nt,198.0,9,0,0,logo,Standard,2026-08-15,2026-08-15
aetna,preferred,NE,55,male,0,50000,standard_nt,206.5,10,0,1,Aetna,Preferred,2026-08-15,2026-08-15
americo,eagle_select_2,NE,55,male,0,50000,standard_nt,213.66,11,0,1,Americo,Eagle Select 2,2026-08-15,2026-08-15
aetna,standard,NE,55,male,0,50000,standard_nt,228.38,12,0,1,Aetna,Standard,2026-08-15,2026-08-15
transamerica,express_select,NE,55,male,0,50000,standard_nt,228.63,13,0,1,Transamerica Life Insurance Co.,Express Select,2026-08-15,2026-08-15
aflac,standard,NE,55,male,0,50000,standard_nt,232.92,14,0,0,Aflac,Standard,2026-08-15,2026-08-15
transamerica,immediate_solution_preferred,NE,55,female,0,10000,standard_nt,27.57,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-15,2026-08-15
moo,living_promise_level,NE,55,female,0,10000,standard_nt,27.7,2,0,1,United of Omaha,Living Promise Level,2026-08-15,2026-08-15
cigna,primary_plan,NE,55,female,0,10000,standard_nt,28.03,3,0,0,cigna,PRIMARY PLAN,2026-08-15,2026-08-15
americo,eagle_select_1,NE,55,female,0,10000,standard_nt,29.59,4,0,1,Americo,Eagle Select 1,2026-08-15,2026-08-15
corebridge,simplinow_level,NE,55,female,0,10000,standard_nt,30.15,5,0,1,Corebridge Financial,SimpliNow Level,2026-08-15,2026-08-15
lbl,simpl_preferred,NE,55,female,0,10000,standard_nt,30.91,6,0,0,lbl,SIMPL Preferred,2026-08-15,2026-08-15
royal,simplified_issue_plan,NE,55,female,0,10000,standard_nt,31.27,7,0,0,royal,Simplified Issue Plan,2026-08-15,2026-08-15
logo,preferred,NE,55,female,0,10000,standard_nt,32.07,8,0,0,logo,Preferred,2026-08-15,2026-08-15
foresters,planright_preferred,NE,55,female,0,10000,standard_nt,32.47,9,0,0,foresters,PlanRight/Preferred,2026-08-15,2026-08-15
transamerica,express_premier,NE,55,female,0,10000,standard_nt,32.86,10,0,1,Transamerica Life Insurance Co.,Express Premier,2026-08-15,2026-08-15
amam,senior_choice_immediate,NE,55,female,0,10000,standard_nt,33.69,11,0,1,American Amicable,Senior Choice Immediate,2026-08-15,2026-08-15
amam,golden_solution_immediate,NE,55,female,0,10000,standard_nt,33.99,12,0,1,American Amicable,Golden Solution Immediate,2026-08-15,2026-08-15
transamerica,immediate_solution_standard,NE,55,female,0,10000,standard_nt,34.09,13,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-15,2026-08-15
logo,standard,NE,55,female,0,10000,standard_nt,34.16,14,0,0,logo,Standard,2026-08-15,2026-08-15
aetna,preferred,NE,55,female,0,10000,standard_nt,34.39,15,0,1,Aetna,Preferred,2026-08-15,2026-08-15
amam,golden_solution_graded,NE,55,female,0,10000,standard_nt,36.49,16,0,1,American Amicable,Golden Solution Graded,2026-08-15,2026-08-15
moo,living_promise_graded,NE,55,female,0,10000,standard_nt,37.29,17,0,1,United of Omaha,Living Promise Graded,2026-08-15,2026-08-15
royal,ensured_legacy_standard,NE,55,female,0,10000,standard_nt,37.98,18,0,0,royal,Ensured Legacy/Standard,2026-08-15,2026-08-15
americo,eagle_select_2,NE,55,female,0,10000,standard_nt,38.18,19,0,1,Americo,Eagle Select 2,2026-08-15,2026-08-15
amam,senior_choice_graded,NE,55,female,0,10000,standard_nt,38.22,20,0,1,American Amicable,Senior Choice Graded,2026-08-15,2026-08-15
aflac,standard,NE,55,female,0,10000,standard_nt,38.46,21,0,0,Aflac,Standard,2026-08-15,2026-08-15
logo,superior_choice,NE,55,female,0,10000,standard_nt,38.66,22,0,0,logo,Superior Choice,2026-08-15,2026-08-15
amam,platinum_solution_immediate,NE,55,female,0,10000,standard_nt,38.72,23,0,1,American Amicable,Platinum Solution Immediate,2026-08-15,2026-08-15
lbl,simpl_standard,NE,55,female,0,10000,standard_nt,38.85,24,0,0,lbl,SIMPL Standard,2026-08-15,2026-08-15
corebridge,simplinow_graded,NE,55,female,0,10000,standard_nt,39.83,25,0,1,Corebridge Financial,SimpliNow Graded,2026-08-15,2026-08-15
amam,platinum_solution_graded,NE,55,female,0,10000,standard_nt,40.66,26,0,1,American Amicable,Platinum Solution Graded,2026-08-15,2026-08-15
logo,graded,NE,55,female,0,10000,standard_nt,40.98,27,0,0,logo,Graded,2026-08-15,2026-08-15
americo,eagle_select_3,NE,55,female,0,10000,standard_nt,41.64,28,0,1,Americo,Eagle Select 3,2026-08-15,2026-08-15
